DATE,Retail_Sales
1/1/1992,1744
2/1/1992,1990
3/1/1992,2177
4/1/1992,2601
5/1/1992,2171
6/1/1992,2207
7/1/1992,2251
8/1/1992,2087
9/1/1992,2016
10/1/1992,2149
11/1/1992,1667
12/1/1992,1583
1/1/1993,2022
2/1/1993,2199
3/1/1993,2526
4/1/1993,2564
5/1/1993,2309
6/1/1993,2393
7/1/1993,2485
8/1/1993,2287
9/1/1993,2167
10/1/1993,2339
11/1/1993,2253
12/1/1993,2060
1/1/1994,2199
2/1/1994,2432
3/1/1994,2669
4/1/1994,2782
5/1/1994,2638
6/1/1994,2769
7/1/1994,2774
8/1/1994,3119
9/1/1994,2887
10/1/1994,3136
11/1/1994,2564
12/1/1994,2470
1/1/1995,2709
2/1/1995,2833
3/1/1995,3296
4/1/1995,2998
5/1/1995,3180
6/1/1995,3303
7/1/1995,3492
8/1/1995,3445
9/1/1995,3223
10/1/1995,3074
11/1/1995,2931
12/1/1995,2558
1/1/1996,2871
2/1/1996,3451
3/1/1996,4046
4/1/1996,3879
5/1/1996,3727
6/1/1996,3538
7/1/1996,3571
8/1/1996,3511
9/1/1996,3221
10/1/1996,3526
11/1/1996,3262
12/1/1996,3006
1/1/1997,3377
2/1/1997,3834
3/1/1997,4089
4/1/1997,4115
5/1/1997,4022
6/1/1997,4088
7/1/1997,4066
8/1/1997,3864
9/1/1997,3741
10/1/1997,3822
11/1/1997,3294
12/1/1997,3374
1/1/1998,3681
2/1/1998,4154
3/1/1998,4523
4/1/1998,4400
5/1/1998,4356
6/1/1998,4723
7/1/1998,4535
8/1/1998,4476
9/1/1998,4138
10/1/1998,4535
11/1/1998,3730
12/1/1998,3691
1/1/1999,4115
2/1/1999,4597
3/1/1999,4921
4/1/1999,4824
5/1/1999,4950
6/1/1999,5047
7/1/1999,4895
8/1/1999,4892
9/1/1999,4509
10/1/1999,4516
11/1/1999,4292
12/1/1999,4095
1/1/2000,4381
2/1/2000,5327
3/1/2000,5434
4/1/2000,4841
5/1/2000,4986
6/1/2000,5161
7/1/2000,4989
8/1/2000,5089
9/1/2000,4860
10/1/2000,4574
11/1/2000,4089
12/1/2000,3928
1/1/2001,4648
2/1/2001,4917
3/1/2001,5359
4/1/2001,4991
5/1/2001,5390
6/1/2001,5169
7/1/2001,4906
8/1/2001,5142
9/1/2001,4291
10/1/2001,4903
11/1/2001,4444
12/1/2001,4103
1/1/2002,4802
2/1/2002,5226
3/1/2002,5212
4/1/2002,5260
5/1/2002,5342
6/1/2002,5199
7/1/2002,5229
8/1/2002,5542
9/1/2002,4855
10/1/2002,5143
11/1/2002,4736
12/1/2002,4377
1/1/2003,5209
2/1/2003,5477
3/1/2003,5877
4/1/2003,5572
5/1/2003,5586
6/1/2003,5324
7/1/2003,5466
8/1/2003,5494
9/1/2003,5072
10/1/2003,5014
11/1/2003,4528
12/1/2003,4436
1/1/2004,5053
2/1/2004,5538
3/1/2004,6055
4/1/2004,5564
5/1/2004,5882
6/1/2004,5548
7/1/2004,5773
8/1/2004,5948
9/1/2004,5546
10/1/2004,5785
11/1/2004,5481
12/1/2004,5348
1/1/2005,5803
2/1/2005,6480
3/1/2005,6602
4/1/2005,6036
5/1/2005,5955
6/1/2005,6018
7/1/2005,6080
8/1/2005,6419
9/1/2005,5684
10/1/2005,5597
